date,campaign,spend_usd,impressions,cpm_usd,clicks,ctr_pct,cpc_usd
2025-03-01,steep_traffic_q2,955,83552,11.43,2401,2.87,0.4
2025-03-02,steep_traffic_q2,1035,84258,12.28,2347,2.79,0.44
2025-03-03,steep_traffic_q2,984,85533,11.5,2464,2.88,0.4
2025-03-04,steep_traffic_q2,1001,85832,11.66,2333,2.72,0.43
2025-03-05,steep_traffic_q2,1030,88499,11.64,2390,2.7,0.43
2025-03-06,steep_traffic_q2,1018,87273,11.66,2417,2.77,0.42
2025-03-07,steep_traffic_q2,1061,93007,11.41,2600,2.8,0.41
2025-03-08,steep_traffic_q2,931,78843,11.81,2176,2.76,0.43
2025-03-09,steep_traffic_q2,919,77856,11.8,2168,2.78,0.42
2025-03-10,steep_traffic_q2,1021,82226,12.42,2160,2.63,0.47
2025-03-11,steep_traffic_q2,1007,82032,12.28,2235,2.72,0.45
2025-03-12,steep_traffic_q2,1010,85202,11.85,2329,2.73,0.43
2025-03-13,steep_traffic_q2,1072,88287,12.14,2377,2.69,0.45
2025-03-14,steep_traffic_q2,909,74231,12.25,1956,2.64,0.46
2025-03-15,steep_traffic_q2,916,77976,11.75,1998,2.56,0.46
2025-03-16,steep_traffic_q2,956,82977,11.52,2113,2.55,0.45
2025-03-17,steep_traffic_q2,974,82279,11.84,2132,2.59,0.46
2025-03-18,steep_traffic_q2,1087,92744,11.72,2326,2.51,0.47
2025-03-19,steep_traffic_q2,934,76993,12.13,1969,2.56,0.47
2025-03-20,steep_traffic_q2,976,84166,11.6,2148,2.55,0.45
2025-03-21,steep_traffic_q2,1011,83087,12.17,2138,2.57,0.47
2025-03-22,steep_traffic_q2,1055,85002,12.41,2134,2.51,0.49
2025-03-23,steep_traffic_q2,963,84189,11.44,2042,2.43,0.47
2025-03-24,steep_traffic_q2,1089,93451,11.65,2255,2.41,0.48
2025-03-25,steep_traffic_q2,1031,87539,11.78,2175,2.48,0.47
2025-03-26,steep_traffic_q2,992,79376,12.5,1903,2.4,0.52
2025-03-27,steep_traffic_q2,1012,86526,11.7,2043,2.36,0.5
2025-03-28,steep_traffic_q2,1080,89245,12.1,2092,2.34,0.52
2025-03-29,steep_traffic_q2,1100,94314,11.66,2212,2.35,0.5
2025-03-30,steep_traffic_q2,909,78981,11.51,1851,2.34,0.49
2025-03-31,steep_traffic_q2,1058,87057,12.15,1977,2.27,0.54
2025-04-01,steep_traffic_q2,976,85045,11.48,1953,2.3,0.5
2025-04-02,steep_traffic_q2,1094,90902,12.03,2144,2.36,0.51
2025-04-03,steep_traffic_q2,1044,91468,11.41,2124,2.32,0.49
2025-04-04,steep_traffic_q2,953,79124,12.04,1804,2.28,0.53
2025-04-05,steep_traffic_q2,987,85574,11.53,1931,2.26,0.51
2025-04-06,steep_traffic_q2,1075,85694,12.54,1897,2.21,0.57
2025-04-07,steep_traffic_q2,936,77995,12.0,1693,2.17,0.55
2025-04-08,steep_traffic_q2,960,77142,12.44,1727,2.24,0.56
2025-04-09,steep_traffic_q2,931,76747,12.13,1677,2.19,0.56
2025-04-10,steep_traffic_q2,1056,87655,12.05,1914,2.18,0.55
2025-04-11,steep_traffic_q2,965,84644,11.4,1808,2.14,0.53
2025-04-12,steep_traffic_q2,1076,85977,12.51,1766,2.05,0.61
2025-04-13,steep_traffic_q2,912,77492,11.77,1658,2.14,0.55
2025-04-14,steep_traffic_q2,917,73147,12.54,1556,2.13,0.59
2025-04-15,steep_traffic_q2,1052,91613,11.48,1888,2.06,0.56
2025-04-16,steep_traffic_q2,995,86117,11.55,1789,2.08,0.56
2025-04-17,steep_traffic_q2,1074,91653,11.72,1864,2.03,0.58
2025-04-18,steep_traffic_q2,1008,86493,11.65,1730,2.0,0.58
2025-04-19,steep_traffic_q2,962,82636,11.64,1669,2.02,0.58
2025-04-20,steep_traffic_q2,988,81118,12.18,1650,2.03,0.6
2025-04-21,steep_traffic_q2,945,81852,11.55,1604,1.96,0.59
2025-04-22,steep_traffic_q2,946,78143,12.11,1501,1.92,0.63
2025-04-23,steep_traffic_q2,1026,89332,11.49,1689,1.89,0.61
2025-04-24,steep_traffic_q2,1072,85853,12.49,1609,1.87,0.67
2025-04-25,steep_traffic_q2,1034,88485,11.69,1627,1.84,0.64
2025-04-26,steep_traffic_q2,1087,94041,11.56,1728,1.84,0.63
2025-04-27,steep_traffic_q2,1057,88325,11.97,1643,1.86,0.64
2025-04-28,steep_traffic_q2,919,79030,11.63,1477,1.87,0.62
