date,cpa_low,cpa_mid,cpa_high,cvr_low,cvr_mid,cvr_high
2025-10-30,42.9,46.5,50.1,2.753,2.992,3.231
2025-10-31,43.01,46.61,50.21,2.753,2.992,3.231
2025-11-01,43.12,46.72,50.32,2.753,2.992,3.231
2025-11-02,43.23,46.83,50.43,2.753,2.992,3.231
2025-11-03,43.34,46.94,50.54,2.753,2.992,3.231
2025-11-04,43.45,47.05,50.65,2.753,2.992,3.231
2025-11-05,43.56,47.16,50.76,2.753,2.992,3.231
2025-11-06,43.67,47.27,50.87,2.753,2.992,3.231
2025-11-07,43.78,47.38,50.98,2.753,2.992,3.231
2025-11-08,43.89,47.49,51.09,2.753,2.992,3.231
2025-11-09,44.0,47.6,51.2,2.753,2.992,3.231
2025-11-10,44.11,47.71,51.31,2.753,2.992,3.231
2025-11-11,44.22,47.82,51.42,2.753,2.992,3.231
2025-11-12,44.33,47.93,51.53,2.753,2.992,3.231
2025-11-13,44.44,48.04,51.64,2.753,2.992,3.231
2025-11-14,44.55,48.15,51.75,2.753,2.992,3.231
2025-11-15,44.66,48.26,51.86,2.753,2.992,3.231
2025-11-16,44.77,48.37,51.97,2.753,2.992,3.231
2025-11-17,44.88,48.48,52.08,2.753,2.992,3.231
2025-11-18,44.99,48.59,52.19,2.753,2.992,3.231
2025-11-19,45.1,48.7,52.3,2.753,2.992,3.231
2025-11-20,45.21,48.81,52.41,2.753,2.992,3.231
2025-11-21,45.32,48.92,52.52,2.753,2.992,3.231
2025-11-22,45.43,49.03,52.63,2.753,2.992,3.231
2025-11-23,45.54,49.14,52.74,2.753,2.992,3.231
2025-11-24,45.65,49.25,52.85,2.753,2.992,3.231
2025-11-25,45.76,49.36,52.96,2.753,2.992,3.231
2025-11-26,45.87,49.47,53.07,2.753,2.992,3.231
2025-11-27,45.98,49.58,53.18,2.753,2.992,3.231
2025-11-28,46.09,49.69,53.29,2.753,2.992,3.231
