customer_id,acq_month,channel,geo,income_band,acq_type,monthly_fee,observed_tenure_months,status,revenue_to_date,acquisition_cost
C1000,2025-01,paid_social,US,mid,full_price,15,2,churned,30.0,34.29
C1001,2025-02,referral,US,low,discount,13,1,churned,13.0,13.87
C1002,2025-03,referral,CA,high,full_price,17,8,active,154.0,13.9
C1003,2025-04,search,CA,low,full_price,15,7,active,98.0,29.7
C1004,2025-05,paid_social,UK,low,discount,17,2,churned,34.0,26.73
C1005,2025-06,referral,UK,high,discount,17,5,active,85.0,8.57
C1006,2025-01,referral,UK,mid,full_price,15,10,active,168.0,14.04
C1007,2025-02,search,US,high,full_price,17,9,active,177.0,20.69
C1008,2025-03,referral,UK,high,full_price,17,8,active,154.0,13.92
C1009,2025-04,paid_social,IN,mid,discount,15,1,churned,17.25,19.94
C1010,2025-05,referral,UK,low,discount,13,6,active,43.0,12.71
C1011,2025-06,paid_social,IN,high,discount,17,5,active,74.0,32.76
C1012,2025-01,paid_social,CA,low,full_price,13,4,churned,58.0,31.25
C1013,2025-02,paid_social,CA,low,discount,15,9,churned,149.0,35.72
C1014,2025-03,search,US,high,full_price,17,8,active,146.0,17.53
C1015,2025-04,search,UK,high,full_price,15,7,active,98.0,21.79
C1016,2025-05,paid_social,IN,mid,discount,15,5,churned,91.25,23.08
C1017,2025-06,referral,US,low,discount,15,4,churned,60.0,9.23
C1018,2025-01,search,US,low,discount,13,6,churned,78.0,19.48
C1019,2025-02,referral,US,high,full_price,17,9,active,165.0,13.82
C1020,2025-03,paid_social,US,low,discount,13,3,churned,39.0,36.03
C1021,2025-04,search,US,low,full_price,15,7,active,85.0,25.36
C1022,2025-05,search,IN,mid,full_price,15,6,active,102.0,22.7
C1023,2025-06,search,IN,mid,discount,15,2,churned,42.0,15.22
C1024,2025-01,referral,IN,low,discount,13,2,churned,22.75,8.77
C1025,2025-02,search,US,mid,discount,15,1,churned,15.0,19.81
C1026,2025-03,paid_social,UK,mid,discount,15,1,churned,7.5,22.34
C1027,2025-04,search,CA,mid,full_price,15,7,active,113.0,20.48
C1028,2025-05,search,UK,low,discount,17,6,active,108.0,22.06
C1029,2025-06,search,UK,high,full_price,17,5,active,93.0,9.75
