date,cpm_actual,cpm_mid,cpm_low,cpm_high,in_band
2025-10-30,13.16,13.97,13.61,14.34,False
2025-10-31,14.0,14.0,13.63,14.37,True
2025-11-01,12.92,14.02,13.65,14.39,False
2025-11-02,14.14,14.04,13.68,14.41,True
2025-11-03,14.09,14.07,13.7,14.44,True
2025-11-04,14.23,14.09,13.72,14.46,True
2025-11-05,13.87,14.11,13.75,14.48,True
2025-11-06,13.35,14.14,13.77,14.51,False
2025-11-07,13.85,14.16,13.79,14.53,True
2025-11-08,13.95,14.19,13.82,14.55,True
2025-11-09,13.76,14.21,13.84,14.58,False
2025-11-10,14.34,14.23,13.86,14.6,True
2025-11-11,13.62,14.26,13.89,14.62,False
2025-11-12,14.43,14.28,13.91,14.65,True
2025-11-13,13.82,14.3,13.93,14.67,False
2025-11-14,14.24,14.33,13.96,14.69,True
2025-11-15,14.55,14.35,13.98,14.72,True
2025-11-16,14.09,14.37,14.0,14.74,True
2025-11-17,14.19,14.4,14.03,14.76,True
2025-11-18,14.31,14.42,14.05,14.79,True
2025-11-19,13.56,14.44,14.07,14.81,False
2025-11-20,14.1,14.47,14.1,14.84,True
2025-11-21,14.38,14.49,14.12,14.86,True
2025-11-22,14.51,14.51,14.14,14.88,True
2025-11-23,14.28,14.54,14.17,14.91,True
2025-11-24,14.34,14.56,14.19,14.93,True
2025-11-25,14.01,14.58,14.21,14.95,False
2025-11-26,14.77,14.61,14.24,14.98,True
2025-11-27,14.24,14.63,14.26,15.0,False
2025-11-28,13.58,14.65,14.28,15.02,False
