date,campaign,spend_usd,impressions,cpm_usd,clicks,ctr_pct,cpc_usd,orders,cpa_usd,cvr_pct,notes
2025-10-30,Steep_Q4_PaidSocial_Prospecting,1052.38,79974,13.16,734,0.918,1.43,20,52.62,2.725,
2025-10-31,Steep_Q4_PaidSocial_Prospecting,968.23,69180,14.0,704,1.018,1.38,21,46.11,2.983,
2025-11-01,Steep_Q4_PaidSocial_Prospecting,943.49,73048,12.92,718,0.983,1.31,21,44.93,2.925,
2025-11-02,Steep_Q4_PaidSocial_Prospecting,1018.38,72017,14.14,706,0.98,1.44,22,46.29,3.116,
2025-11-03,Steep_Q4_PaidSocial_Prospecting,1009.17,71613,14.09,661,0.923,1.53,20,50.46,3.026,
2025-11-04,Steep_Q4_PaidSocial_Prospecting,1007.87,70836,14.23,662,0.935,1.52,20,50.39,3.021,
2025-11-05,Steep_Q4_PaidSocial_Prospecting,989.37,71316,13.87,714,1.001,1.39,19,52.07,2.661,
2025-11-06,Steep_Q4_PaidSocial_Prospecting,948.14,71037,13.35,571,0.804,1.66,16,59.26,2.802,
2025-11-07,Steep_Q4_PaidSocial_Prospecting,1029.98,74388,13.85,706,0.949,1.46,23,44.78,3.258,
2025-11-08,Steep_Q4_PaidSocial_Prospecting,1053.11,75479,13.95,764,1.012,1.38,23,45.79,3.01,
2025-11-09,Steep_Q4_PaidSocial_Prospecting,966.5,70229,13.76,586,0.834,1.65,17,56.85,2.901,
2025-11-10,Steep_Q4_PaidSocial_Prospecting,985.68,68729,14.34,701,1.02,1.41,19,51.88,2.71,
2025-11-11,Steep_Q4_PaidSocial_Prospecting,1015.71,74554,13.62,699,0.938,1.45,21,48.37,3.004,
2025-11-12,Steep_Q4_PaidSocial_Prospecting,926.76,64219,14.43,556,0.866,1.67,16,57.92,2.878,
2025-11-13,Steep_Q4_PaidSocial_Prospecting,957.21,69271,13.82,638,0.921,1.5,19,50.38,2.978,
2025-11-14,Steep_Q4_PaidSocial_Prospecting,1013.15,71124,14.24,688,0.967,1.47,20,50.66,2.907,
2025-11-15,Steep_Q4_PaidSocial_Prospecting,940.93,64682,14.55,557,0.861,1.69,18,52.27,3.232,
2025-11-16,Steep_Q4_PaidSocial_Prospecting,1015.34,72073,14.09,645,0.895,1.57,22,46.15,3.411,
2025-11-17,Steep_Q4_PaidSocial_Prospecting,1083.08,76339,14.19,669,0.876,1.62,21,51.58,3.139,
2025-11-18,Steep_Q4_PaidSocial_Prospecting,966.17,67502,14.31,580,0.859,1.67,18,53.68,3.103,
2025-11-19,Steep_Q4_PaidSocial_Prospecting,966.67,71266,13.56,520,0.73,1.86,15,64.44,2.885,
2025-11-20,Steep_Q4_PaidSocial_Prospecting,981.65,69607,14.1,670,0.963,1.47,21,46.75,3.134,
2025-11-21,Steep_Q4_PaidSocial_Prospecting,961.52,66869,14.38,545,0.815,1.76,16,60.09,2.936,
2025-11-22,Steep_Q4_PaidSocial_Prospecting,1007.41,69440,14.51,564,0.812,1.79,18,55.97,3.191,
2025-11-23,Steep_Q4_PaidSocial_Prospecting,954.32,66817,14.28,656,0.982,1.45,20,47.72,3.049,
2025-11-24,Steep_Q4_PaidSocial_Prospecting,1057.33,73750,14.34,629,0.853,1.68,19,55.65,3.021,
2025-11-25,Steep_Q4_PaidSocial_Prospecting,993.18,70900,14.01,594,0.838,1.67,17,58.42,2.862,
2025-11-26,Steep_Q4_PaidSocial_Prospecting,1026.62,69488,14.77,574,0.826,1.79,17,60.39,2.962,
2025-11-27,Steep_Q4_PaidSocial_Prospecting,1018.16,71517,14.24,610,0.853,1.67,16,63.63,2.623,
2025-11-28,Steep_Q4_PaidSocial_Prospecting,986.58,72630,13.58,509,0.701,1.94,17,58.03,3.34,
