date,campaign,spend_usd,impressions,cpm_usd,clicks,ctr_pct,cpc_usd,orders,cpa_usd,cvr_pct,notes
2025-08-01,Steep_Q4_PaidSocial_Prospecting,1012.19,87378,11.58,1263,1.445,0.8,40,25.3,3.167,
2025-08-02,Steep_Q4_PaidSocial_Prospecting,921.96,80176,11.5,1125,1.403,0.82,33,27.94,2.933,
2025-08-03,Steep_Q4_PaidSocial_Prospecting,999.33,85422,11.7,1233,1.443,0.81,39,25.62,3.163,
2025-08-04,Steep_Q4_PaidSocial_Prospecting,1002.64,80141,12.51,1134,1.415,0.88,32,31.33,2.822,
2025-08-05,Steep_Q4_PaidSocial_Prospecting,1014.75,86757,11.7,1245,1.435,0.82,37,27.43,2.972,
2025-08-06,Steep_Q4_PaidSocial_Prospecting,992.61,83923,11.83,1218,1.451,0.81,36,27.57,2.956,
2025-08-07,Steep_Q4_PaidSocial_Prospecting,982.87,82048,11.98,1153,1.405,0.85,35,28.08,3.036,
2025-08-08,Steep_Q4_PaidSocial_Prospecting,1016.51,82560,12.31,1236,1.497,0.82,36,28.24,2.913,
2025-08-09,Steep_Q4_PaidSocial_Prospecting,979.51,82767,11.83,1160,1.402,0.84,37,26.47,3.19,
2025-08-10,Steep_Q4_PaidSocial_Prospecting,995.44,84047,11.84,1101,1.31,0.9,34,29.28,3.088,
2025-08-11,Steep_Q4_PaidSocial_Prospecting,1029.73,82927,12.42,1091,1.316,0.94,33,31.2,3.025,
2025-08-12,Steep_Q4_PaidSocial_Prospecting,1004.67,81631,12.31,1145,1.403,0.88,35,28.7,3.057,
2025-08-13,Steep_Q4_PaidSocial_Prospecting,1027.16,83733,12.27,1142,1.364,0.9,36,28.53,3.152,
2025-08-14,Steep_Q4_PaidSocial_Prospecting,941.71,77621,12.13,1019,1.313,0.92,29,32.47,2.846,
2025-08-15,Steep_Q4_PaidSocial_Prospecting,988.99,76797,12.88,987,1.285,1.0,31,31.9,3.141,
2025-08-16,Steep_Q4_PaidSocial_Prospecting,932.69,76663,12.17,1029,1.342,0.91,32,29.15,3.11,
2025-08-17,Steep_Q4_PaidSocial_Prospecting,1028.45,81382,12.64,1064,1.307,0.97,31,33.18,2.914,
2025-08-18,Steep_Q4_PaidSocial_Prospecting,1034.32,84341,12.26,1052,1.247,0.98,29,35.67,2.757,
2025-08-19,Steep_Q4_PaidSocial_Prospecting,963.22,76697,12.56,1018,1.327,0.95,32,30.1,3.143,
2025-08-20,Steep_Q4_PaidSocial_Prospecting,982.91,78990,12.44,1068,1.352,0.92,31,31.71,2.903,
2025-08-21,Steep_Q4_PaidSocial_Prospecting,1018.27,83910,12.14,1081,1.288,0.94,32,31.82,2.96,
2025-08-22,Steep_Q4_PaidSocial_Prospecting,952.17,75480,12.61,964,1.277,0.99,29,32.83,3.008,
2025-08-23,Steep_Q4_PaidSocial_Prospecting,1019.23,80772,12.62,1083,1.341,0.94,32,31.85,2.955,
2025-08-24,Steep_Q4_PaidSocial_Prospecting,983.07,79100,12.43,946,1.196,1.04,26,37.81,2.748,
2025-08-25,Steep_Q4_PaidSocial_Prospecting,947.09,78395,12.08,1032,1.316,0.92,29,32.66,2.81,
2025-08-26,Steep_Q4_PaidSocial_Prospecting,984.87,75645,13.02,958,1.266,1.03,30,32.83,3.132,
2025-08-27,Steep_Q4_PaidSocial_Prospecting,962.66,77397,12.44,949,1.226,1.01,28,34.38,2.95,
2025-08-28,Steep_Q4_PaidSocial_Prospecting,1033.61,87232,11.85,1138,1.305,0.91,35,29.53,3.076,
2025-08-29,Steep_Q4_PaidSocial_Prospecting,976.23,81478,11.98,1042,1.279,0.94,30,32.54,2.879,
2025-08-30,Steep_Q4_PaidSocial_Prospecting,1009.31,80175,12.59,1095,1.366,0.92,32,31.54,2.922,
2025-08-31,Steep_Q4_PaidSocial_Prospecting,959.06,75685,12.67,968,1.279,0.99,31,30.94,3.202,
2025-09-01,Steep_Q4_PaidSocial_Prospecting,1033.4,80970,12.76,1092,1.349,0.95,30,34.45,2.747,
2025-09-02,Steep_Q4_PaidSocial_Prospecting,974.41,79418,12.27,979,1.233,1.0,27,36.09,2.758,
2025-09-03,Steep_Q4_PaidSocial_Prospecting,1025.41,81568,12.57,949,1.163,1.08,27,37.98,2.845,
2025-09-04,Steep_Q4_PaidSocial_Prospecting,1012.54,77796,13.02,1064,1.368,0.95,38,26.65,3.571,
2025-09-05,Steep_Q4_PaidSocial_Prospecting,1016.58,82620,12.3,921,1.115,1.1,28,36.31,3.04,
2025-09-06,Steep_Q4_PaidSocial_Prospecting,967.48,77067,12.55,926,1.202,1.04,28,34.55,3.024,
2025-09-07,Steep_Q4_PaidSocial_Prospecting,1042.64,81438,12.8,997,1.224,1.05,28,37.24,2.808,
2025-09-08,Steep_Q4_PaidSocial_Prospecting,933.01,74252,12.57,910,1.226,1.03,30,31.1,3.297,
2025-09-09,Steep_Q4_PaidSocial_Prospecting,1005.21,76308,13.17,912,1.195,1.1,25,40.21,2.741,
2025-09-10,Steep_Q4_PaidSocial_Prospecting,961.4,76851,12.51,1151,1.498,0.84,66,14.57,5.734,Promo week (20% off sitewide)
2025-09-11,Steep_Q4_PaidSocial_Prospecting,963.88,73062,13.19,1015,1.389,0.95,56,17.21,5.517,Promo week (20% off sitewide)
2025-09-12,Steep_Q4_PaidSocial_Prospecting,973.81,74802,13.02,998,1.334,0.98,51,19.09,5.11,Promo week (20% off sitewide)
2025-09-13,Steep_Q4_PaidSocial_Prospecting,1006.9,74632,13.49,1020,1.367,0.99,57,17.66,5.588,Promo week (20% off sitewide)
2025-09-14,Steep_Q4_PaidSocial_Prospecting,1052.24,81143,12.97,1077,1.327,0.98,61,17.25,5.664,Promo week (20% off sitewide)
2025-09-15,Steep_Q4_PaidSocial_Prospecting,1061.43,81817,12.97,1043,1.275,1.02,63,16.85,6.04,Promo week (20% off sitewide)
2025-09-16,Steep_Q4_PaidSocial_Prospecting,1068.95,83198,12.85,1099,1.321,0.97,57,18.75,5.187,Promo week (20% off sitewide)
2025-09-17,Steep_Q4_PaidSocial_Prospecting,964.21,73061,13.2,851,1.165,1.13,26,37.09,3.055,
2025-09-18,Steep_Q4_PaidSocial_Prospecting,993.46,75866,13.09,963,1.269,1.03,29,34.26,3.011,
2025-09-19,Steep_Q4_PaidSocial_Prospecting,1025.76,84356,12.16,993,1.177,1.03,28,36.63,2.82,
2025-09-20,Steep_Q4_PaidSocial_Prospecting,951.25,75205,12.65,869,1.156,1.09,28,33.97,3.222,
2025-09-21,Steep_Q4_PaidSocial_Prospecting,946.94,72662,13.03,830,1.142,1.14,24,39.46,2.892,
2025-09-22,Steep_Q4_PaidSocial_Prospecting,1040.11,78468,13.26,978,1.246,1.06,29,35.87,2.965,
2025-09-23,Steep_Q4_PaidSocial_Prospecting,972.16,74952,12.97,882,1.177,1.1,27,36.01,3.061,
2025-09-24,Steep_Q4_PaidSocial_Prospecting,956.62,72935,13.12,854,1.171,1.12,29,32.99,3.396,
2025-09-25,Steep_Q4_PaidSocial_Prospecting,1075.07,84262,12.76,957,1.136,1.12,26,41.35,2.717,
2025-09-26,Steep_Q4_PaidSocial_Prospecting,976.37,73709,13.25,900,1.221,1.08,26,37.55,2.889,
2025-09-27,Steep_Q4_PaidSocial_Prospecting,973.83,79295,12.28,899,1.134,1.08,25,38.95,2.781,
2025-09-28,Steep_Q4_PaidSocial_Prospecting,978.82,76415,12.81,866,1.133,1.13,23,42.56,2.656,
2025-09-29,Steep_Q4_PaidSocial_Prospecting,941.32,67085,14.03,710,1.058,1.33,20,47.07,2.817,
2025-09-30,Steep_Q4_PaidSocial_Prospecting,1073.48,74744,14.36,793,1.061,1.35,23,46.67,2.9,
2025-10-01,Steep_Q4_PaidSocial_Prospecting,1013.66,72865,13.91,777,1.066,1.3,23,44.07,2.96,
2025-10-02,Steep_Q4_PaidSocial_Prospecting,1031.09,76868,13.41,845,1.099,1.22,25,41.24,2.959,
2025-10-03,Steep_Q4_PaidSocial_Prospecting,945.0,71783,13.16,790,1.101,1.2,24,39.38,3.038,
2025-10-04,Steep_Q4_PaidSocial_Prospecting,977.79,72597,13.47,852,1.174,1.15,26,37.61,3.052,
2025-10-05,Steep_Q4_PaidSocial_Prospecting,1014.07,76124,13.32,844,1.109,1.2,24,42.25,2.844,
2025-10-06,Steep_Q4_PaidSocial_Prospecting,1012.66,76248,13.28,937,1.229,1.08,31,32.67,3.308,
2025-10-07,Steep_Q4_PaidSocial_Prospecting,1015.43,77902,13.03,804,1.032,1.26,26,39.06,3.234,
2025-10-08,Steep_Q4_PaidSocial_Prospecting,1010.51,74565,13.55,738,0.99,1.37,23,43.94,3.117,
2025-10-09,Steep_Q4_PaidSocial_Prospecting,1018.18,78710,12.94,836,1.062,1.22,25,40.73,2.99,
2025-10-10,Steep_Q4_PaidSocial_Prospecting,1002.1,75441,13.28,814,1.079,1.23,24,41.75,2.948,
2025-10-11,Steep_Q4_PaidSocial_Prospecting,1006.1,71820,14.01,666,0.927,1.51,20,50.31,3.003,
2025-10-12,Steep_Q4_PaidSocial_Prospecting,1007.06,74276,13.56,783,1.054,1.29,21,47.96,2.682,
2025-10-13,Steep_Q4_PaidSocial_Prospecting,1013.12,71594,14.15,702,0.981,1.44,22,46.05,3.134,
2025-10-14,Steep_Q4_PaidSocial_Prospecting,986.86,73343,13.46,737,1.005,1.34,22,44.86,2.985,
2025-10-15,Steep_Q4_PaidSocial_Prospecting,1052.0,76604,13.73,894,1.167,1.18,29,36.28,3.244,
2025-10-16,Steep_Q4_PaidSocial_Prospecting,1112.61,80400,13.84,891,1.108,1.25,26,42.79,2.918,End-of-quarter spend ramp
2025-10-17,Steep_Q4_PaidSocial_Prospecting,1057.82,74381,14.22,732,0.984,1.45,23,45.99,3.142,End-of-quarter spend ramp
2025-10-18,Steep_Q4_PaidSocial_Prospecting,1175.42,82261,14.29,953,1.159,1.23,30,39.18,3.148,End-of-quarter spend ramp
2025-10-19,Steep_Q4_PaidSocial_Prospecting,1168.75,85419,13.68,866,1.014,1.35,28,41.74,3.233,End-of-quarter spend ramp
2025-10-20,Steep_Q4_PaidSocial_Prospecting,1186.33,85293,13.91,889,1.042,1.33,25,47.45,2.812,End-of-quarter spend ramp
2025-10-21,Steep_Q4_PaidSocial_Prospecting,1269.62,84986,14.94,912,1.073,1.39,24,52.9,2.632,End-of-quarter spend ramp
2025-10-22,Steep_Q4_PaidSocial_Prospecting,1302.88,87999,14.81,993,1.128,1.31,26,50.11,2.618,End-of-quarter spend ramp
2025-10-23,Steep_Q4_PaidSocial_Prospecting,1366.49,96434,14.17,1076,1.116,1.27,33,41.41,3.067,End-of-quarter spend ramp
2025-10-24,Steep_Q4_PaidSocial_Prospecting,1362.88,89128,15.29,969,1.087,1.41,29,47.0,2.993,End-of-quarter spend ramp
2025-10-25,Steep_Q4_PaidSocial_Prospecting,1439.39,97366,14.78,983,1.01,1.46,29,49.63,2.95,End-of-quarter spend ramp
2025-10-26,Steep_Q4_PaidSocial_Prospecting,1511.42,101656,14.87,1023,1.006,1.48,33,45.8,3.226,End-of-quarter spend ramp
2025-10-27,Steep_Q4_PaidSocial_Prospecting,1481.4,95357,15.54,1011,1.06,1.47,30,49.38,2.967,End-of-quarter spend ramp
2025-10-28,Steep_Q4_PaidSocial_Prospecting,1591.41,99751,15.95,1036,1.039,1.54,35,45.47,3.378,End-of-quarter spend ramp
2025-10-29,Steep_Q4_PaidSocial_Prospecting,1519.86,92552,16.42,900,0.972,1.69,27,56.29,3.0,End-of-quarter spend ramp
