date,cpa_actual,cpa_mid,cpa_low,cpa_high,cvr_actual,cvr_mid,cvr_low,cvr_high,cpa_in_band,cvr_in_band
2025-10-30,52.62,46.71,42.97,50.45,2.725,2.992,2.753,3.231,False,False
2025-10-31,46.11,46.93,43.17,50.68,2.983,2.992,2.753,3.231,True,True
2025-11-01,44.93,47.14,43.37,50.91,2.925,2.992,2.753,3.231,True,True
2025-11-02,46.29,47.36,43.57,51.15,3.116,2.992,2.753,3.231,True,True
2025-11-03,50.46,47.58,43.77,51.38,3.026,2.992,2.753,3.231,True,True
2025-11-04,50.39,47.79,43.97,51.61,3.021,2.992,2.753,3.231,True,True
2025-11-05,52.07,48.01,44.17,51.85,2.661,2.992,2.753,3.231,False,False
2025-11-06,59.26,48.22,44.37,52.08,2.802,2.992,2.753,3.231,False,True
2025-11-07,44.78,48.44,44.56,52.31,3.258,2.992,2.753,3.231,True,False
2025-11-08,45.79,48.66,44.76,52.55,3.01,2.992,2.753,3.231,True,True
2025-11-09,56.85,48.87,44.96,52.78,2.901,2.992,2.753,3.231,False,True
2025-11-10,51.88,49.09,45.16,53.02,2.71,2.992,2.753,3.231,True,False
2025-11-11,48.37,49.3,45.36,53.25,3.004,2.992,2.753,3.231,True,True
2025-11-12,57.92,49.52,45.56,53.48,2.878,2.992,2.753,3.231,False,True
2025-11-13,50.38,49.74,45.76,53.72,2.978,2.992,2.753,3.231,True,True
2025-11-14,50.66,49.95,45.96,53.95,2.907,2.992,2.753,3.231,True,True
2025-11-15,52.27,50.17,46.16,54.18,3.232,2.992,2.753,3.231,True,False
2025-11-16,46.15,50.38,46.35,54.42,3.411,2.992,2.753,3.231,False,False
2025-11-17,51.58,50.6,46.55,54.65,3.139,2.992,2.753,3.231,True,True
2025-11-18,53.68,50.82,46.75,54.88,3.103,2.992,2.753,3.231,True,True
2025-11-19,64.44,51.03,46.95,55.12,2.885,2.992,2.753,3.231,False,True
2025-11-20,46.75,51.25,47.15,55.35,3.134,2.992,2.753,3.231,False,True
2025-11-21,60.09,51.47,47.35,55.58,2.936,2.992,2.753,3.231,False,True
2025-11-22,55.97,51.68,47.55,55.82,3.191,2.992,2.753,3.231,False,True
2025-11-23,47.72,51.9,47.75,56.05,3.049,2.992,2.753,3.231,False,True
2025-11-24,55.65,52.11,47.94,56.28,3.021,2.992,2.753,3.231,True,True
2025-11-25,58.42,52.33,48.14,56.52,2.862,2.992,2.753,3.231,False,True
2025-11-26,60.39,52.55,48.34,56.75,2.962,2.992,2.753,3.231,False,True
2025-11-27,63.63,52.76,48.54,56.98,2.623,2.992,2.753,3.231,False,False
2025-11-28,58.03,52.98,48.74,57.22,3.34,2.992,2.753,3.231,False,False
